sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230338,5,fabric,Museo del Oro,07/06/2023,,1.88,15.78,54.22,,3.35,1.8,0.69,0.07,4.87,,27,83,58,634,13,170,15,16
CA230338,3,cream,Museo del Oro,07/06/2023,,,13.28,62.71,,1.64,1.08,0.65,0.03,3.88,,15,44,,499,11,173,12,16
CA230338,3,red,Museo del Oro,07/06/2023,,1.82,17.61,40.43,,1.27,0.53,0.87,0.05,6.96,,22,65,,531,11,161,11,16
CA230339,5,fabric,Museo del Oro,07/06/2023,,1.67,17.59,52.27,,1.4,1.93,0.71,0.05,3.23,,24,108,54,649,10,217,19,51
CA230339,3,red,Museo del Oro,07/06/2023,,,18.31,44.53,,0.73,0.78,0.93,0.05,5.12,,24,105,,579,10,197,17,34
CA230339,3,black ,Museo del Oro,07/06/2023,,,20.15,49.71,,1.35,1.28,0.8,0.05,3.31,,22,44,,615,11,224,22,27
CA230339,3,cream,Museo del Oro,07/06/2023,,,17.39,52.99,,1.44,1.35,0.74,0.04,3.19,,19,54,,645,9,207,17,22
CA230340,5,fabric,Museo del Oro,07/06/2023,,1.81,13.99,54.54,,1.78,1.52,0.92,0.04,5.8,,35,78,73,563,9,230,20,24
CA230340,3,black ,Museo del Oro,07/06/2023,,,18.6,43.88,,1.64,1.35,0.75,0.04,5.05,,17,56,,456,10,178,15,24
CA230340,3,red,Museo del Oro,07/06/2023,,,20.12,48.46,,1.6,1.11,0.78,0.04,4.84,,,50,,462,9,190,17,20
CA230341,3,red,Museo del Oro,07/06/2023,,,12.85,52.21,,1.5,1.69,1.08,0.04,2.97,,,157,,748,23,210,22,164
CA230341,5,fabric,Museo del Oro,07/06/2023,,1.65,18.86,57.1,,2.41,2.11,0.75,0.04,2.85,,19,70,51,701,18,201,22,24
CA230341,3,red (ext),Museo del Oro,07/06/2023,,,14.34,61.72,,2.03,2.16,1.03,0.03,2.38,,,50,,730,22,197,17,22
CA230342,3,red (ext),Museo del Oro,07/06/2023,,,16.38,56.59,,1.51,1.45,0.78,0.04,3.84,,,32,,702,16,173,19,21
CA230342,5,fabric,Museo del Oro,07/06/2023,,1.74,11.79,44.87,,1.36,1.78,0.75,0.05,3.31,,,40,45,735,20,171,13,18
CA230342,3,red,Museo del Oro,07/06/2023,,,10.89,44.76,,1.06,1.16,0.65,0.05,5.31,,17,40,,744,20,168,18,16
CA230343,3,red,Museo del Oro,07/06/2023,,1.78,19.58,49.52,,1.64,1.34,0.78,0.09,4.22,,18,46,,656,9,200,20,22
CA230343,5,fabric,Museo del Oro,07/06/2023,,,13.61,56.94,,1.43,1.76,0.74,0.04,2.75,,18,36,48,662,10,203,19,15
